actual,predicted
149.69,142.94772
220.0,215.90129
122.5,119.81487
75.0,160.35011
158.76,162.41147
183.7,176.95683
170.0,138.42186
161.03,149.02045
165.56,171.50421
86.18,103.207726
265.0,223.91449
263.08,275.30597
242.5,245.49315
232.5,229.56229
322.5,304.0539
230.0,235.63536
120.2,128.0677
202.5,186.52971
240.0,239.38228
233.6,189.24173
163.29,182.52727
182.5,158.07988
85.0,103.00118
238.14,220.82707
245.0,215.84361
210.0,232.71648
117.5,105.49563
254.01,252.5647
205.0,189.27019
195.0,216.18369
280.0,291.93982
247.21,243.35187
140.0,134.73056
137.5,130.04005
200.0,209.04817
182.5,194.087
192.5,163.98062
205.0,194.67056
287.5,295.62274
220.0,227.21121
192.78,209.95006
220.0,245.7009
132.5,123.39133
92.5,98.247314
147.42,166.1965
246.0,205.0057
192.5,181.5371
230.0,199.40779
142.5,144.61359
140.0,134.24632
165.0,178.82507
240.0,224.15027
95.0,104.04844
122.5,122.81299
145.15,132.80443
150.0,155.7313
122.5,129.11568
115.0,100.839745
115.67,93.455154
306.17,265.65756
215.0,215.86928
201.85,198.61472
104.3,118.45864
160.0,169.80771
235.0,238.4033
90.0,115.265945
258.55,246.7803
290.0,283.14075
285.0,287.87897
255.0,241.8189
245.0,253.79427
122.5,150.51164
197.31,197.41231
182.5,158.23283
120.0,103.85851
152.5,158.89937
129.27,143.08298
208.7,180.14389
131.54,118.727295
155.0,146.81221
127.01,110.45052
145.0,136.27301
147.42,137.83308
297.5,272.04596
207.5,223.7882
226.8,225.46234
310.0,264.8506
200.0,215.6346
272.5,245.14586
136.08,151.1957
162.5,165.93661
300.0,307.18787
167.5,155.82164
132.5,157.64609
220.0,238.03523
82.78,96.5612
230.0,206.09813
250.0,271.85812
327.5,300.9704
302.5,259.41937
252.5,234.9293
220.0,194.95796
105.0,114.985535
150.0,214.43549
135.0,148.88417
160.0,174.36374
160.0,183.74039
390.0,344.6545
205.0,219.22943
137.5,110.474045
240.4,199.40668
147.42,151.77513
282.5,254.43903
305.0,295.00085
150.0,123.21413
245.0,233.26884
182.5,175.5136
112.5,131.80318
192.78,180.76826
124.74,150.27615
202.5,222.22035
150.0,162.07663
230.0,241.95642
188.24,194.43144
227.5,256.16312
175.0,232.15257
127.01,138.28224
197.5,223.49422
102.5,113.72862
192.78,192.94366
131.54,105.51099
142.5,150.61945
237.5,199.87221
147.5,156.33678
156.49,170.64992
107.5,117.82831
200.0,218.18585
232.5,225.44522
208.65,206.6169
142.52,152.8123
100.0,110.74951
245.0,251.18472
120.0,129.75502
187.5,168.5708
100.0,97.1373
262.5,233.32884
175.0,177.45755
230.0,218.40031
113.4,118.940506
242.5,233.82903
162.5,159.51306
145.0,159.66603
162.5,151.7977
145.15,152.89792
86.18,99.16026
180.0,162.92958
181.44,178.52995
131.54,124.65638
210.0,222.18724
208.65,201.49687
145.0,132.60706
172.37,159.25264
155.0,139.71555
183.7,189.58475
127.5,113.23435
294.84,281.19086
224.53,265.75885
167.5,170.15195
200.0,203.16524
195.04,209.5908
162.5,155.83977
295.0,280.34204
202.5,206.98235
227.5,259.03864
157.5,145.99843
205.0,215.28235
317.5,305.55032
187.5,210.49728
185.0,192.46461
220.0,234.00978
195.0,217.58128
220.0,240.49287
190.0,173.41974
195.04,215.22661
340.19,311.2378
258.55,265.1784
175.0,168.26619
270.0,250.97818
145.15,158.29395
142.88,176.46698
235.0,243.38562
127.5,125.20061
200.0,214.00441
127.5,136.5078
220.0,289.36267
77.5,80.389175
250.0,237.32721
142.88,138.41583
265.0,216.8168
262.5,260.12234
232.5,259.77908
201.85,232.3528
238.14,254.20749
140.0,152.36194
181.44,176.59259
220.0,211.59743
112.5,119.92905
150.0,157.45015
277.5,278.19904
185.0,187.7709
182.5,221.45528
245.0,233.60277
217.27,239.61888
210.0,224.76338
112.5,123.42307
200.0,216.20148
165.56,165.47237
272.5,268.55978
122.5,132.0258
158.76,164.06654
240.0,229.74254
272.16,278.08572
332.5,285.13736
95.25,102.15309
220.0,236.53558
115.0,125.59396
195.0,176.21608
112.5,136.34819
137.5,138.51845
120.0,131.55997
137.5,141.14577
122.5,152.99211
290.06,282.04807
147.42,138.47662
165.0,162.44672
115.7,132.54941
237.5,258.00433
222.5,233.35156
215.0,241.48323
95.0,102.432205
210.0,200.58273
226.8,210.01173
362.5,309.90305
192.5,206.71652
282.5,266.02713
187.5,211.04912
192.5,198.98717
190.0,168.1193
227.5,231.28719
135.0,141.21254
120.0,129.49167
100.0,113.11423
207.5,222.49567
102.5,100.76968
222.26,231.99774
95.0,97.8804
217.72,209.80397
125.0,126.83108
165.56,177.33078
180.0,195.85367
187.5,210.2217
170.1,172.46881
230.0,206.60754
190.0,173.56465
210.0,198.95634
220.0,228.08403
220.0,219.21811
200.0,205.55994
192.5,203.08588
195.04,200.7767
227.5,256.5056
265.0,233.08575
142.5,147.7271
181.44,178.7783
206.38,223.90353
167.83,150.19139
183.7,212.26738
281.23,229.68451
226.8,241.97818
200.0,199.90486
158.76,147.77737
