BestSquatKg,BestBenchKg,BodyweightKg,Sex,Equipment,BestDeadliftKg
208.65,165.56,109.36,M,Single-ply,179.17
177.5,115.0,62.87,F,Single-ply,177.5
152.5,110.0,98.6,F,Raw,182.5
181.44,113.4,80.56,M,Wraps,233.6
302.5,210.0,100.0,M,Single-ply,295.0
145.0,75.0,82.4,F,Wraps,152.5
265.0,165.0,104.0,M,Single-ply,242.5
280.0,167.5,132.95,M,Wraps,280.0
136.08,56.7,83.01,M,Single-ply,145.15
187.5,117.5,121.2,M,Raw,227.5
77.11,49.9,74.57,F,Raw,117.93
227.5,172.5,90.6,M,Raw,255.0
140.0,105.0,73.0,M,Raw,180.0
267.5,185.0,111.72,M,Raw,285.0
182.5,152.5,81.0,M,Raw,202.5
105.0,60.0,58.3,F,Raw,130.0
122.5,47.5,51.3,F,Single-ply,135.0
133.81,92.99,71.58,M,Single-ply,165.56
227.5,137.5,94.95,M,Wraps,240.0
255.0,140.0,97.85,M,Wraps,247.5
365.0,197.5,118.0,M,Wraps,345.0
129.27,72.57,78.2,M,Single-ply,149.69
138.35,56.7,55.79,M,Single-ply,142.88
145.0,102.5,79.0,M,Raw,172.5
332.5,182.5,90.0,M,Single-ply,332.5
200.0,137.5,88.5,M,Raw,260.0
149.69,90.72,73.39,M,Single-ply,165.56
180.0,122.5,81.5,M,Wraps,235.0
227.5,150.0,106.4,M,Raw,245.0
85.0,85.0,57.7,M,Single-ply,120.0
238.14,156.49,77.2,F,Multi-ply,210.92
247.5,142.5,82.35,M,Raw,300.0
205.0,152.5,58.8,M,Single-ply,200.0
162.5,120.0,86.6,M,Raw,192.5
115.0,67.5,62.4,F,Raw,155.0
226.8,142.88,98.43,M,Wraps,272.16
272.5,170.0,124.47,M,Wraps,305.0
157.5,117.5,66.8,M,Raw,175.0
136.08,68.04,59.51,M,Single-ply,133.81
175.0,160.0,102.4,M,Raw,245.0
165.56,102.06,73.48,M,Single-ply,179.17
200.0,115.0,80.9,M,Raw,245.0
205.0,150.0,90.8,M,Raw,237.5
142.5,105.0,64.4,M,Single-ply,170.0
111.13,111.13,96.43,M,Wraps,161.03
317.51,181.44,154.58,M,Single-ply,226.8
105.0,82.5,99.97,M,Wraps,162.5
200.0,150.0,82.0,M,Raw,235.0
115.67,83.91,103.15,M,Single-ply,136.08
127.01,54.43,60.21,F,Raw,142.88
192.5,107.5,52.0,M,Single-ply,185.0
227.5,167.5,89.63,M,Raw,260.0
172.37,104.33,88.0,M,Single-ply,188.24
244.94,127.01,135.62,M,Single-ply,204.12
167.5,97.5,64.9,M,Single-ply,197.5
170.0,132.5,104.8,M,Raw,227.5
230.0,155.0,80.86,M,Raw,230.0
117.5,52.5,61.05,F,Wraps,137.5
207.5,140.0,98.7,M,Raw,240.0
240.0,140.0,89.4,M,Single-ply,260.0
35.0,37.5,59.5,F,Raw,77.5
92.5,60.0,55.4,F,Raw,152.5
288.03,215.46,117.3,M,Wraps,288.03
242.5,170.0,107.7,M,Wraps,305.0
225.0,152.5,108.8,M,Raw,240.0
242.5,175.0,92.3,M,Raw,250.0
90.0,60.0,80.5,F,Raw,105.0
177.5,152.5,102.6,M,Single-ply,195.0
187.5,125.0,73.6,M,Raw,242.5
410.0,250.0,123.2,M,Multi-ply,250.0
207.5,135.0,89.3,M,Raw,275.0
215.0,152.5,71.64,F,Single-ply,192.5
145.0,120.0,88.6,M,Raw,185.0
149.69,92.99,51.53,M,Single-ply,158.76
115.0,67.5,45.7,F,Raw,170.5
90.0,42.5,64.5,F,Raw,137.5
190.0,140.0,122.3,M,Wraps,200.0
222.5,115.0,102.5,M,Raw,250.0
77.5,50.0,59.6,F,Raw,122.5
107.5,62.5,94.3,F,Raw,152.5
162.5,105.0,80.7,M,Raw,195.0
240.0,160.0,100.7,M,Raw,225.0
172.5,135.0,85.0,M,Raw,190.0
238.14,140.61,149.78,M,Single-ply,206.38
247.21,145.15,107.05,M,Single-ply,213.19
170.0,102.5,99.8,M,Raw,205.0
197.31,115.67,116.12,M,Single-ply,183.7
192.5,147.5,89.58,M,Raw,237.5
165.0,120.0,73.6,M,Raw,240.0
90.0,90.0,91.2,M,Single-ply,120.0
177.5,137.5,108.6,M,Raw,205.0
112.5,65.0,67.5,F,Single-ply,127.5
237.5,210.0,108.35,M,Raw,265.0
122.5,60.0,68.3,F,Wraps,117.5
233.6,151.95,97.2,M,Single-ply,229.06
102.5,60.0,81.1,F,Raw,150.0
215.0,122.5,67.3,M,Single-ply,230.0
272.16,199.58,109.41,M,Wraps,267.62
135.0,120.0,100.1,M,Single-ply,170.0
252.51,182.48,130.6,M,Wraps,277.51
245.0,200.0,102.92,M,Single-ply,242.5
180.0,122.5,77.9,M,Raw,220.0
82.5,42.5,55.6,F,Raw,115.0
320.0,217.5,118.5,M,Raw,280.0
108.86,61.23,50.71,M,Single-ply,115.67
130.0,95.0,92.0,M,Single-ply,160.0
185.0,137.5,92.6,M,Raw,260.0
170.0,105.0,83.35,F,Raw,182.5
142.88,63.5,55.43,M,Single-ply,149.69
240.0,145.0,87.0,M,Single-ply,215.0
97.5,65.0,88.4,F,Raw,115.0
167.5,132.5,91.85,M,Raw,180.0
190.0,135.0,67.4,M,Raw,225.0
247.5,200.0,88.8,M,Raw,262.5
158.76,117.93,71.67,M,Single-ply,172.37
205.0,117.5,104.4,F,Raw,247.5
92.99,61.23,68.95,M,Single-ply,120.2
210.0,175.0,90.8,M,Single-ply,240.0
130.0,60.0,68.19,F,Raw,130.0
197.31,136.08,89.09,M,Wraps,226.8
205.0,135.0,109.77,M,Wraps,250.0
250.0,147.5,84.2,M,Single-ply,252.5
152.5,87.5,74.0,F,Raw,187.5
195.04,138.35,73.48,M,Single-ply,258.55
82.5,35.0,43.8,F,Single-ply,80.0
227.5,142.5,81.6,M,Raw,235.0
100.0,85.0,62.6,M,Single-ply,135.0
204.12,136.08,89.54,M,Single-ply,199.58
165.0,155.0,93.3,M,Raw,260.0
99.79,56.7,56.61,M,Single-ply,117.93
155.0,125.0,82.25,M,Raw,182.5
183.7,111.13,67.77,M,Single-ply,170.1
175.0,92.5,69.6,M,Raw,220.0
300.0,197.5,90.0,M,Single-ply,367.5
160.0,120.0,80.2,M,Raw,200.0
310.0,250.0,108.59,M,Single-ply,287.5
92.99,81.65,58.97,F,Wraps,83.91
161.03,106.59,93.08,M,Single-ply,204.12
86.18,38.56,83.1,F,Raw,102.06
185.0,112.5,93.0,M,Single-ply,172.5
225.0,135.0,88.81,M,Raw,265.0
202.5,155.0,98.43,M,Wraps,227.5
229.06,154.22,118.75,M,Single-ply,176.9
213.19,145.15,88.63,M,Single-ply,190.51
117.5,55.0,58.4,F,Wraps,100.0
265.0,155.0,81.9,M,Single-ply,330.0
156.49,99.79,109.86,M,Single-ply,154.22
140.0,75.0,85.3,M,Single-ply,182.5
192.5,125.0,89.0,M,Raw,225.0
67.5,77.5,63.4,M,Raw,137.5
202.5,117.5,80.7,M,Raw,250.0
165.56,149.69,81.42,M,Wraps,210.92
155.0,75.0,72.0,M,Raw,182.5
265.35,154.22,116.57,M,Wraps,288.03
220.0,142.5,90.2,M,Raw,277.5
201.85,111.13,88.18,M,Wraps,226.8
158.76,102.06,88.45,M,Single-ply,185.97
70.0,62.5,58.24,F,Raw,122.5
242.5,145.0,98.8,M,Wraps,235.0
160.0,130.0,93.0,M,Raw,210.0
260.82,136.08,109.04,M,Single-ply,229.06
215.0,170.0,79.2,M,Single-ply,282.5
158.76,88.45,60.69,M,Single-ply,165.56
233.6,127.01,98.79,M,Wraps,244.94
247.5,142.5,82.4,M,Raw,260.0
77.5,47.5,67.6,F,Raw,100.0
82.5,67.5,61.65,F,Raw,115.0
240.0,165.0,125.0,M,Single-ply,265.0
280.0,140.0,104.3,M,Single-ply,292.5
130.0,120.0,73.1,M,Raw,205.0
106.59,72.57,82.1,M,Single-ply,124.74
203.0,20.0,87.7,M,Wraps,220.0
255.0,210.0,90.1,M,Single-ply,280.0
170.0,142.5,89.0,M,Raw,210.0
232.5,145.0,82.5,M,Raw,280.0
100.0,57.5,54.2,F,Raw,130.0
305.0,142.5,98.25,M,Wraps,262.5
250.0,230.0,133.4,M,Single-ply,100.0
255.0,170.0,89.4,M,Single-ply,272.5
172.5,137.5,108.2,M,Raw,207.5
108.86,72.57,71.67,M,Wraps,161.03
267.5,172.5,107.05,M,Single-ply,257.5
170.0,87.5,103.95,M,Raw,215.0
232.5,132.5,71.8,M,Raw,282.5
120.2,72.57,64.86,M,Single-ply,142.88
260.0,177.5,103.76,M,Raw,285.0
125.0,50.0,50.4,F,Raw,160.5
95.0,42.5,65.1,F,Raw,115.0
127.5,55.0,67.4,F,Raw,117.5
230.0,137.5,83.01,M,Wraps,227.5
147.42,92.99,77.93,M,Raw,201.85
163.29,102.06,63.23,M,Single-ply,165.56
85.0,62.5,64.3,F,Single-ply,115.0
140.0,80.0,81.1,M,Raw,190.0
152.5,80.0,68.65,F,Raw,175.0
102.5,57.5,66.0,F,Raw,132.5
232.5,130.0,94.3,M,Single-ply,250.0
185.97,140.61,80.92,M,Raw,251.74
204.1,127.0,91.4,M,Raw,242.7
100.0,52.5,54.9,F,Raw,152.5
200.0,140.0,79.83,M,Wraps,237.5
162.5,112.5,101.7,M,Raw,215.0
222.26,99.79,74.03,M,Single-ply,199.58
188.2,111.1,82.5,M,Raw,224.5
124.74,61.23,55.25,M,Single-ply,145.15
197.5,125.0,89.5,M,Single-ply,240.0
70.0,45.0,55.3,F,Raw,107.5
112.5,57.5,59.6,F,Raw,137.5
199.58,106.59,65.18,M,Single-ply,204.12
120.0,120.0,74.3,M,Raw,130.0
207.5,152.5,121.29,M,Wraps,217.5
131.54,81.65,87.54,M,Single-ply,181.44
197.31,172.37,121.34,M,Raw,251.74
222.5,142.5,82.8,M,Raw,250.0
202.5,160.0,61.64,F,Single-ply,187.5
155.0,87.5,71.7,M,Raw,185.0
200.0,125.0,87.4,M,Raw,200.0
250.0,190.0,100.7,M,Single-ply,260.0
