BestSquatKg,BestBenchKg,BodyweightKg,Sex,Equipment,BestDeadliftKg
185.0,122.5,87.6,M,Raw,242.5
142.88,74.84,90.54,M,Single-ply,172.37
130.0,112.5,69.4,M,Single-ply,160.0
165.56,74.84,63.78,M,Single-ply,190.51
200.0,112.5,112.3,M,Single-ply,190.0
195.0,137.5,85.87,M,Raw,240.0
87.5,47.5,59.5,F,Raw,97.5
82.5,47.5,52.0,F,Raw,125.0
70.0,50.0,84.85,F,Raw,115.0
125.0,57.5,64.6,F,Raw,162.5
306.17,204.12,99.7,M,Single-ply,226.8
270.0,182.5,92.4,M,Raw,295.0
60.0,45.0,80.3,M,Single-ply,100.0
262.5,182.5,100.0,M,Wraps,280.0
102.06,63.5,54.16,M,Single-ply,131.54
225.0,150.0,73.6,M,Raw,272.5
153.0,82.5,62.7,F,Raw,157.5
120.0,65.0,56.15,F,Raw,180.0
115.0,82.5,65.2,F,Raw,147.5
177.5,107.5,108.85,M,Raw,180.0
287.5,195.0,99.3,M,Raw,305.0
175.0,120.0,81.5,M,Raw,202.5
249.48,127.01,96.98,M,Wraps,263.08
188.24,102.06,110.5,M,Single-ply,167.83
210.0,130.0,88.9,M,Raw,270.0
205.0,140.0,90.7,M,Raw,240.0
182.5,117.5,73.4,M,Raw,207.5
305.0,205.0,136.08,M,Wraps,342.5
199.58,111.13,92.62,M,Single-ply,181.44
77.5,62.5,70.3,M,Raw,147.5
62.5,45.0,82.2,F,Raw,92.5
135.0,67.5,62.9,F,Raw,177.5
227.5,137.5,71.88,M,Raw,285.0
195.0,130.0,79.6,M,Wraps,230.0
102.5,65.0,87.5,F,Raw,120.0
255.0,205.0,98.4,M,Raw,255.0
170.0,90.0,70.4,F,Raw,202.5
92.99,88.45,70.31,M,Single-ply,133.81
188.24,106.59,81.87,M,Single-ply,170.1
124.74,77.11,66.22,M,Single-ply,142.88
240.0,145.0,88.0,M,Wraps,237.5
75.0,62.5,71.1,F,Raw,130.0
202.5,110.0,73.95,M,Raw,220.0
157.5,117.5,140.0,M,Raw,215.0
87.5,47.5,55.29,F,Wraps,115.0
270.0,180.0,91.95,M,Raw,260.0
115.67,70.31,51.17,M,Single-ply,131.54
115.0,67.5,55.5,F,Raw,150.0
201.85,136.08,81.56,M,Wraps,267.62
408.23,278.96,108.41,M,Multi-ply,299.37
467.5,342.5,123.47,M,Multi-ply,305.0
60.0,35.0,56.5,F,Raw,95.0
207.5,142.5,121.9,M,Raw,272.5
235.0,135.0,100.0,M,Single-ply,227.5
90.72,83.91,72.67,M,Single-ply,72.57
180.0,110.0,89.05,M,Single-ply,200.0
154.22,92.99,73.75,M,Raw,213.19
62.5,80.0,64.5,F,Raw,115.0
160.0,100.0,68.4,M,Raw,180.0
192.78,115.67,116.12,M,Single-ply,183.7
174.63,127.01,101.33,M,Single-ply,183.7
215.0,132.5,73.3,M,Single-ply,210.0
183.7,124.74,99.56,M,Wraps,215.46
206.38,156.49,121.11,M,Single-ply,226.8
20.0,17.5,44.1,F,Raw,27.5
340.0,215.0,151.9,M,Raw,300.0
217.5,150.0,82.0,M,Raw,210.0
174.63,92.99,77.11,M,Single-ply,215.46
102.06,68.04,52.8,M,Single-ply,133.81
190.0,110.0,73.05,M,Raw,212.5
140.61,83.91,82.5,M,Raw,165.56
265.35,138.35,116.94,M,Single-ply,238.14
170.0,137.5,107.6,M,Wraps,212.5
86.2,56.7,84.6,F,Raw,136.1
147.5,87.5,81.4,F,Wraps,142.5
95.25,68.04,63.05,M,Single-ply,147.42
115.0,70.0,86.6,M,Raw,162.5
110.0,50.0,63.0,F,Raw,120.0
112.5,67.5,62.5,F,Raw,127.5
226.8,102.06,98.88,M,Single-ply,183.7
177.5,122.5,73.0,M,Raw,215.0
172.37,106.59,70.13,M,Single-ply,2.27
202.5,125.0,80.8,M,Raw,230.0
255.0,152.5,118.1,M,Raw,265.0
110.0,57.5,70.9,F,Raw,140.0
230.0,140.0,92.2,M,Raw,240.0
82.5,60.0,114.8,F,Raw,137.5
149.69,79.38,51.26,M,Single-ply,156.49
120.0,67.5,86.9,F,Raw,157.5
208.65,102.06,96.8,M,Single-ply,199.58
167.5,92.5,71.9,F,Single-ply,135.0
97.52,68.04,56.25,M,Single-ply,124.74
112.5,45.0,56.8,F,Single-ply,112.5
117.93,61.23,54.43,M,Single-ply,142.88
82.5,42.5,85.9,F,Raw,100.0
188.24,117.93,69.85,M,Single-ply,204.12
387.5,182.5,166.57,M,Raw,292.5
217.72,133.81,82.33,M,Wraps,192.78
117.5,65.0,67.5,F,Raw,137.5
187.5,117.5,80.6,M,Raw,200.0
170.0,122.5,74.0,M,Raw,190.0
201.85,129.27,86.18,M,Wraps,256.28
275.0,145.0,167.5,M,Raw,275.0
247.5,135.0,97.7,M,Raw,267.5
270.0,185.0,91.08,M,Raw,272.5
183.7,147.42,124.01,M,Wraps,226.8
210.0,152.5,77.7,F,Single-ply,192.5
77.11,40.82,67.31,F,Raw,95.25
227.5,160.0,79.6,M,Raw,245.0
100.0,47.5,58.3,F,Raw,125.0
147.5,105.0,74.6,M,Wraps,210.0
145.0,80.0,67.5,F,Raw,165.0
142.88,92.99,92.53,M,Wraps,142.88
180.0,135.0,91.3,M,Raw,212.5
77.5,35.0,45.84,F,Raw,110.5
75.0,35.0,70.3,F,Raw,100.0
232.5,132.5,100.0,M,Raw,235.0
225.0,105.0,97.0,M,Raw,247.5
232.5,130.0,117.25,M,Raw,247.5
165.0,150.0,95.98,M,Wraps,220.0
206.38,131.54,97.07,M,Single-ply,206.38
210.0,150.0,104.6,M,Single-ply,250.0
90.0,45.0,67.0,F,Raw,102.5
102.1,83.9,,M,Raw,113.4
197.31,157.62,66.54,M,Wraps,208.65
317.51,199.58,125.19,M,Single-ply,265.35
167.5,125.0,79.7,M,Raw,200.0
170.0,105.0,80.8,M,Raw,185.0
150.0,87.5,68.72,F,Raw,180.0
137.5,65.0,82.0,F,Raw,145.0
83.91,83.91,113.4,M,Single-ply,158.76
174.63,106.59,81.37,M,Wraps,242.67
200.0,140.0,74.0,M,Raw,225.0
47.5,35.0,58.0,F,Raw,97.5
70.0,55.0,82.4,F,Raw,130.0
220.0,170.0,92.7,M,Raw,260.0
155.0,127.5,85.0,M,Raw,192.5
98.0,67.5,97.6,F,Raw,145.0
161.03,124.74,78.7,M,Wraps,188.24
277.5,167.5,138.3,M,Raw,302.5
120.0,75.0,98.56,M,Single-ply,150.0
220.0,137.5,76.6,M,Single-ply,235.0
290.0,170.0,99.9,M,Wraps,295.0
233.6,136.08,120.7,M,Single-ply,226.8
190.0,105.0,81.4,F,Raw,190.0
160.0,82.5,66.8,M,Raw,170.0
160.0,102.5,88.45,M,Wraps,182.5
67.5,52.5,60.83,F,Wraps,97.5
249.48,183.7,137.62,M,Single-ply,254.01
77.5,55.0,55.5,F,Single-ply,67.5
188.24,122.47,87.36,M,Raw,233.6
110.0,72.5,77.6,F,Raw,117.5
120.0,85.0,71.0,M,Raw,180.0
190.0,127.5,90.0,M,Single-ply,205.0
255.0,147.5,75.0,M,Raw,255.0
122.5,65.0,51.6,F,Raw,142.5
230.0,147.0,66.68,F,Single-ply,180.0
260.0,170.0,92.85,M,Raw,290.5
244.94,154.22,89.45,M,Raw,294.84
175.0,107.5,80.9,M,Raw,230.0
177.5,92.5,71.67,F,Wraps,172.5
310.0,205.0,118.0,M,Single-ply,275.0
157.5,72.5,90.0,F,Raw,167.5
210.0,150.0,102.9,M,Single-ply,250.0
175.0,115.0,64.3,M,Raw,235.0
127.5,75.0,61.2,M,Raw,142.5
249.48,154.22,93.89,M,Single-ply,204.12
282.5,190.0,123.0,M,Raw,257.5
310.0,205.0,147.7,M,Single-ply,292.5
82.5,47.5,49.9,M,Wraps,115.0
136.08,63.5,79.29,M,Single-ply,163.29
140.61,58.97,51.44,M,Single-ply,129.27
105.0,57.5,62.49,F,Raw,132.5
222.5,127.5,88.2,M,Raw,265.0
206.38,120.2,85.64,M,Single-ply,210.92
157.5,105.0,81.2,M,Single-ply,200.0
213.19,117.93,121.11,M,Raw,204.12
212.5,140.0,92.1,M,Raw,235.0
151.95,106.59,82.5,M,Raw,165.56
120.0,60.0,68.2,F,Raw,137.5
255.0,130.0,151.95,M,Wraps,227.5
132.5,75.0,98.4,F,Raw,157.5
120.0,70.0,55.55,M,Single-ply,145.5
90.72,63.5,70.49,M,Single-ply,136.08
199.58,136.08,116.85,M,Single-ply,219.99
142.5,117.5,78.1,M,Raw,175.0
207.5,132.5,74.39,M,Raw,237.5
357.5,240.0,117.4,M,Raw,332.5
147.5,72.5,66.9,F,Raw,165.0
92.99,79.38,66.32,M,Single-ply,142.88
158.76,113.4,96.3,M,Single-ply,208.65
355.0,275.0,102.74,M,Multi-ply,280.0
90.0,57.5,59.5,F,Raw,107.5
272.5,205.0,100.0,M,Raw,305.0
185.0,120.0,98.2,M,Raw,255.0
130.0,67.5,62.8,F,Single-ply,165.0
158.76,83.91,101.97,M,Single-ply,156.49
95.0,42.5,58.6,F,Raw,120.0
122.5,62.5,55.6,F,Raw,122.5
112.5,47.5,89.6,F,Raw,142.5
90.72,70.31,54.16,M,Single-ply,102.06
132.5,110.0,81.4,M,Raw,187.5
136.08,79.38,54.43,M,Single-ply,140.61
90.0,65.0,71.1,F,Raw,130.0
240.4,147.42,77.93,M,Single-ply,240.4
247.5,152.5,81.8,M,Raw,257.5
182.5,137.5,105.78,M,Wraps,195.0
337.5,250.0,122.92,M,Multi-ply,275.0
97.5,60.0,46.78,F,Raw,122.5
92.99,56.7,64.5,F,Wraps,115.67
102.5,97.5,91.5,M,Raw,177.5
170.0,142.5,105.0,M,Raw,227.5
156.49,99.79,106.5,M,Single-ply,163.29
187.5,140.0,65.44,M,Raw,190.0
124.74,68.04,65.86,M,Single-ply,147.42
72.5,37.5,73.3,F,Raw,92.5
294.84,183.7,106.14,M,Wraps,278.96
105.0,52.5,50.0,F,Raw,125.0
230.0,140.0,81.84,M,Raw,150.0
267.62,127.01,121.29,M,Single-ply,206.38
155.0,115.0,82.0,M,Raw,190.0
204.12,113.4,82.1,M,Single-ply,215.46
112.5,85.0,65.6,M,Raw,170.0
182.5,137.5,74.0,M,Wraps,200.0
165.0,85.0,90.8,M,Raw,175.0
225.0,190.0,106.7,M,Raw,240.0
235.87,158.76,85.64,M,Single-ply,233.6
135.0,75.0,57.1,M,Raw,150.0
62.5,30.0,61.0,F,Raw,102.5
192.78,120.2,100.33,M,Single-ply,204.12
75.0,40.0,49.45,F,Raw,110.0
215.0,130.0,91.2,M,Raw,252.5
355.0,215.0,110.0,M,Single-ply,295.0
156.49,99.79,134.26,M,Single-ply,142.88
152.5,105.0,101.6,M,Raw,212.5
187.5,112.5,73.8,M,Raw,225.0
192.78,117.93,73.03,M,Single-ply,206.38
200.0,170.0,96.0,M,Raw,227.5
105.0,67.5,70.5,F,Raw,142.5
115.0,75.0,55.22,F,Single-ply,125.0
212.5,132.5,73.9,M,Raw,235.0
129.27,79.38,87.27,M,Single-ply,124.74
160.0,102.5,63.2,M,Raw,237.5
155.0,95.0,78.1,M,Single-ply,205.0
142.88,72.57,59.87,M,Single-ply,172.37
125.0,67.5,61.7,F,Raw,187.5
65.0,20.0,59.24,F,Wraps,110.0
105.0,60.0,64.7,F,Raw,127.5
142.5,72.5,62.6,F,Raw,157.5
142.5,115.0,74.21,M,Raw,210.0
88.45,63.5,54.43,M,Single-ply,111.13
215.5,120.0,81.9,M,Raw,227.5
187.5,122.5,87.9,M,Raw,245.0
72.5,37.5,51.45,F,Single-ply,75.0
92.5,47.5,61.7,F,Single-ply,100.0
75.0,70.0,51.75,F,Raw,138.0
202.5,122.5,73.4,M,Raw,217.5
197.5,125.0,73.95,M,Raw,202.5
247.5,160.0,119.4,M,Raw,245.0
75.0,47.5,55.4,F,Raw,85.0
85.0,102.5,72.1,M,Raw,137.5
217.5,130.0,82.9,M,Raw,220.0
200.0,137.5,82.45,M,Raw,232.5
215.0,187.5,81.4,M,Raw,282.5
65.0,37.5,56.4,F,Raw,105.0
226.8,167.83,95.8,M,Wraps,204.12
120.0,50.0,80.9,F,Raw,122.5
92.5,55.0,63.73,F,Wraps,107.5
102.06,83.91,82.5,M,Single-ply,122.47
106.59,61.23,63.46,M,Single-ply,136.08
167.83,97.52,66.77,M,Single-ply,181.44
217.5,152.5,91.0,M,Raw,237.5
190.51,136.08,122.11,M,Wraps,204.12
265.0,145.0,100.9,M,Single-ply,230.0
227.5,152.5,74.5,M,Raw,245.0
115.0,70.0,58.0,F,Raw,125.0
240.0,182.5,96.8,M,Single-ply,265.0
115.0,55.0,121.5,F,Raw,140.0
124.74,79.38,63.73,M,Single-ply,131.54
155.0,85.0,96.34,M,Raw,185.0
140.0,117.5,85.09,M,Raw,192.5
147.5,87.5,66.3,M,Raw,170.0
155.0,110.0,104.78,M,Raw,170.0
157.5,87.5,117.3,F,Raw,192.5
192.5,135.0,91.5,M,Raw,267.5
225.0,187.5,114.0,M,Single-ply,235.0
110.0,67.5,57.08,M,Raw,120.0
133.81,79.38,72.76,M,Single-ply,151.95
95.0,70.0,65.5,M,Raw,122.5
275.0,140.0,87.2,M,Wraps,310.0
105.0,70.0,55.7,F,Raw,145.0
225.0,170.0,84.65,M,Single-ply,235.0
92.99,43.09,47.63,M,Single-ply,92.99
205.0,127.5,75.7,M,Raw,127.5
258.55,158.76,88.63,M,Single-ply,226.8
137.5,102.5,91.2,M,Raw,187.5
130.0,75.0,79.7,F,Raw,152.5
68.04,47.63,69.4,F,Wraps,102.06
102.06,83.91,137.35,M,Single-ply,124.74
226.8,147.42,123.38,M,Wraps,254.01
151.95,86.18,74.39,M,Single-ply,197.31
205.0,137.5,89.74,F,Single-ply,220.0
208.65,136.08,107.41,M,Single-ply,183.7
120.0,130.0,93.0,M,Raw,200.0
115.67,92.99,55.88,M,Single-ply,145.15
156.0,110.0,81.0,M,Raw,195.0
287.5,172.5,103.25,M,Raw,282.5
170.0,90.0,56.47,F,Single-ply,197.5
192.78,117.93,127.5,M,Wraps,240.4
235.0,207.5,93.6,M,Single-ply,252.5
185.0,92.5,54.0,M,Single-ply,210.0
161.03,138.35,81.56,M,Wraps,190.51
204.91,162.39,100.0,M,Single-ply,229.97
260.0,207.5,125.0,M,Single-ply,205.0
312.5,177.5,143.1,M,Raw,292.5
220.0,140.0,85.0,M,Wraps,220.0
212.5,150.0,96.4,M,Wraps,240.0
281.23,176.9,127.64,M,Wraps,267.62
117.5,60.0,82.0,F,Raw,130.0
250.0,150.0,81.6,M,Single-ply,282.5
238.14,142.88,108.05,M,Single-ply,235.87
187.5,125.0,96.05,M,Raw,225.0
272.16,142.88,140.16,M,Single-ply,185.97
85.0,60.0,66.8,M,Single-ply,130.0
117.5,60.0,59.51,F,Raw,132.5
130.0,102.5,80.3,M,Raw,185.0
310.0,180.0,100.0,M,Single-ply,295.0
242.5,125.0,82.4,M,Raw,265.0
150.0,122.5,70.1,M,Single-ply,185.0
170.1,81.65,81.65,M,Single-ply,176.9
200.0,240.0,95.3,M,Single-ply,200.0
204.12,106.59,66.22,M,Single-ply,195.04
197.5,127.5,100.24,M,Wraps,215.0
127.5,25.0,75.0,F,Raw,142.5
70.0,52.5,67.1,F,Raw,97.5
92.5,42.5,74.1,F,Raw,100.0
125.0,85.0,55.6,M,Single-ply,145.0
154.2,102.1,66.7,M,Single-ply,156.5
100.0,62.5,90.25,F,Single-ply,152.5
152.5,117.5,78.4,M,Raw,220.0
145.0,127.5,82.33,M,Wraps,172.5
160.0,90.0,62.08,F,Raw,205.0
132.5,70.0,56.1,F,Single-ply,142.5
250.0,167.5,89.8,M,Single-ply,292.5
175.0,135.0,72.7,M,Raw,205.0
267.62,183.7,98.43,M,Wraps,283.5
195.04,115.67,103.24,M,Wraps,219.99
102.5,40.0,66.4,F,Raw,107.5
232.5,140.0,102.1,M,Raw,245.0
250.0,162.5,104.3,M,Raw,280.0
217.72,131.54,80.92,M,Wraps,249.48
161.03,113.4,83.82,M,Single-ply,170.1
160.0,95.0,56.48,F,Single-ply,180.0
285.0,167.5,98.2,M,Wraps,245.0
170.0,127.5,114.32,M,Raw,225.0
137.5,137.5,101.1,M,Raw,182.5
227.5,127.5,89.54,M,Wraps,245.0
185.0,160.0,109.2,M,Raw,222.5
135.0,95.0,75.3,M,Single-ply,165.0
57.5,40.0,53.8,M,Single-ply,74.0
162.5,102.5,65.4,M,Raw,180.0
202.5,165.0,90.6,M,Raw,262.5
206.38,133.81,80.2,M,Raw,229.06
182.5,125.0,107.86,M,Wraps,210.0
408.23,278.96,108.41,M,Multi-ply,299.37
185.97,122.47,89.45,M,Single-ply,195.04
220.0,190.0,121.0,M,Single-ply,240.0
127.01,68.04,77.38,F,Raw,142.88
255.0,160.0,118.5,M,Raw,282.5
82.5,62.5,85.9,M,Raw,127.5
219.99,136.08,89.99,M,Wraps,254.01
99.79,47.63,55.47,F,Wraps,113.4
125.0,72.5,71.0,F,Raw,157.5
282.5,185.0,133.8,M,Raw,305.0
133.81,92.99,65.77,M,Raw,138.35
204.12,124.74,112.94,M,Single-ply,195.04
120.0,75.0,74.2,M,Single-ply,165.0
52.5,37.5,61.5,F,Raw,92.5
102.06,63.5,64.32,M,Single-ply,104.33
158.76,99.79,94.57,M,Single-ply,149.69
129.27,63.5,90.26,M,Single-ply,142.88
167.5,160.0,123.38,M,Wraps,220.0
128.0,62.5,60.8,F,Raw,142.5
140.0,80.0,62.67,F,Raw,162.5
92.5,60.0,56.9,F,Raw,130.0
250.0,165.0,120.8,M,Wraps,255.0
222.5,120.0,81.95,M,Single-ply,285.0
192.5,165.0,95.2,M,Raw,250.0
172.5,92.5,62.6,F,Single-ply,185.5
120.0,77.5,69.0,F,Raw,142.5
227.5,145.0,82.4,M,Wraps,227.5
125.0,112.5,88.0,M,Raw,142.5
215.0,192.5,120.38,M,Raw,267.5
267.5,170.0,110.0,M,Raw,257.5
92.5,65.0,48.5,F,Raw,115.0
112.5,70.0,80.2,F,Raw,137.5
232.5,152.5,102.0,M,Raw,235.0
95.0,50.0,91.3,M,Single-ply,112.5
207.5,120.0,82.2,M,Raw,265.0
217.5,132.5,81.8,M,Single-ply,232.5
197.31,142.88,74.84,M,Raw,249.48
102.5,55.0,57.0,F,Raw,90.0
165.0,125.0,72.0,M,Raw,185.0
180.0,130.0,95.4,M,Raw,215.0
110.0,55.0,62.4,F,Single-ply,105.0
137.5,107.5,59.15,M,Raw,152.5
370.0,215.0,99.6,M,Single-ply,335.0
100.0,70.0,56.45,F,Raw,135.0
240.0,152.5,122.42,M,Wraps,225.0
120.0,90.0,74.0,M,Single-ply,182.5
205.0,142.5,95.44,M,Raw,272.5
92.99,63.5,65.18,M,Wraps,124.74
192.5,142.5,82.3,M,Raw,207.5
231.33,127.01,65.32,M,Single-ply,183.7
167.5,115.0,95.2,M,Wraps,200.0
112.5,60.0,68.1,F,Single-ply,120.0
200.0,157.5,99.7,M,Raw,212.5
294.95,177.47,100.0,M,Single-ply,277.49
142.88,115.67,80.56,M,Wraps,156.49
207.5,137.5,92.6,M,Raw,230.0
160.0,100.0,98.77,M,Raw,187.5
187.5,132.5,88.4,M,Raw,260.0
147.5,80.0,72.67,M,Raw,157.5
245.0,125.0,92.2,M,Raw,250.0
147.5,95.0,52.18,M,Raw,180.0
147.5,100.0,72.8,M,Raw,197.5
131.54,72.57,55.07,M,Single-ply,142.88
175.0,110.0,66.22,M,Wraps,217.5
185.0,122.5,99.0,M,Wraps,212.5
130.0,70.0,96.15,F,Raw,165.0
120.0,72.5,89.0,F,Raw,150.0
160.0,105.0,81.28,M,Raw,175.0
136.08,72.57,51.44,M,Single-ply,172.37
172.5,120.0,81.4,M,Raw,227.5
102.5,55.0,62.9,F,Raw,117.5
192.78,113.4,116.39,M,Single-ply,213.19
127.5,62.5,100.7,F,Wraps,130.0
225.0,175.0,74.9,M,Raw,260.0
212.5,150.0,81.8,M,Wraps,265.0
149.69,83.91,74.39,M,Single-ply,142.88
170.0,102.5,74.3,M,Raw,182.5
129.27,70.31,61.69,M,Single-ply,129.27
170.1,92.99,98.16,M,Single-ply,170.1
245.0,142.5,89.9,M,Wraps,285.0
265.0,150.0,79.1,M,Wraps,285.0
378.75,215.46,99.79,M,Multi-ply,269.89
97.5,67.5,54.98,F,Raw,150.0
210.92,117.93,80.1,M,Single-ply,226.8
124.74,90.72,86.0,M,Single-ply,136.08
135.0,110.0,72.6,M,Raw,200.0
142.88,99.79,66.41,M,Single-ply,142.88
142.5,75.0,81.2,F,Raw,155.0
75.0,40.0,50.8,F,Raw,107.5
242.5,160.0,92.7,M,Raw,310.0
82.5,50.0,48.2,F,Raw,105.0
177.5,82.5,83.0,F,Raw,205.0
105.0,50.0,73.0,F,Raw,147.5
165.0,132.5,77.6,M,Raw,200.0
162.5,110.0,71.78,F,Single-ply,160.0
205.0,120.0,116.7,M,Raw,275.0
137.5,65.0,99.4,F,Single-ply,102.5
37.5,18.0,41.64,M,Wraps,62.5
222.5,122.5,74.4,F,Wraps,222.5
249.93,197.43,125.0,M,Single-ply,249.93
147.5,110.0,88.7,M,Raw,215.0
255.0,160.0,103.5,M,Single-ply,260.0
149.69,92.99,94.89,M,Single-ply,149.69
235.0,142.5,89.4,M,Single-ply,230.0
201.85,140.61,87.54,M,Single-ply,199.58
279.98,189.94,125.0,M,Single-ply,232.47
150.0,87.5,65.7,M,Raw,172.5
175.0,120.0,92.4,M,Raw,190.0
185.97,136.08,78.83,M,Wraps,208.65
106.59,79.38,64.41,M,Single-ply,142.88
230.0,160.0,90.5,M,Raw,230.0
155.0,145.0,101.35,M,Raw,260.0
220.0,192.5,88.45,M,Raw,250.0
312.5,225.0,103.0,M,Wraps,290.0
310.0,195.0,116.5,M,Wraps,280.0
505.76,333.39,,M,Multi-ply,349.27
100.0,270.5,140.1,M,Single-ply,100.0
207.5,135.0,91.7,M,Wraps,247.5
172.37,99.79,73.21,M,Single-ply,192.78
217.5,112.5,108.73,M,Wraps,197.5
165.56,113.4,88.09,M,Wraps,179.17
180.0,120.0,82.7,M,Raw,242.5
167.5,210.0,108.4,M,Raw,172.5
85.0,25.0,61.4,F,Raw,110.0
112.5,52.5,90.6,F,Raw,140.0
162.5,110.0,60.0,M,Single-ply,185.0
220.0,132.5,94.4,M,Single-ply,205.0
255.0,155.0,103.93,M,Raw,270.0
207.5,132.5,99.25,M,Raw,285.0
210.0,140.0,73.2,M,Raw,210.0
182.5,122.5,107.9,M,Raw,227.5
272.16,151.95,104.78,M,Wraps,258.55
82.5,52.5,61.2,F,Raw,107.5
257.5,157.5,101.0,M,Raw,292.5
265.0,175.0,105.5,M,Raw,275.0
95.0,62.5,67.5,M,Single-ply,142.5
142.88,92.99,99.61,M,Single-ply,142.88
80.0,47.5,63.0,F,Raw,100.0
102.5,47.5,69.1,F,Raw,117.5
136.08,74.84,65.23,F,Raw,145.15
90.0,60.0,51.5,F,Raw,120.0
133.8,90.7,82.5,M,Raw,174.6
88.5,29.5,47.26,F,Single-ply,97.5
200.0,95.0,66.1,M,Single-ply,192.5
177.5,107.5,63.4,M,Raw,222.5
187.5,122.5,89.7,M,Raw,227.5
87.5,60.0,55.0,F,Wraps,137.5
240.0,170.0,98.1,M,Raw,275.0
61.23,201.85,109.5,M,Multi-ply,115.67
232.5,150.0,91.2,M,Raw,270.0
95.25,49.9,67.31,F,Raw,113.4
215.0,165.0,82.5,M,Raw,260.0
140.0,72.5,64.9,F,Raw,170.0
170.0,160.0,97.9,M,Single-ply,220.0
192.78,136.08,94.8,M,Wraps,192.78
157.5,107.5,63.59,M,Raw,200.0
272.5,192.5,107.23,M,Wraps,282.5
162.5,92.5,64.9,M,Raw,207.5
300.0,177.5,75.0,M,Single-ply,325.0
205.0,100.0,63.41,M,Wraps,267.5
408.23,294.84,109.59,M,Multi-ply,294.84
158.76,97.52,71.21,M,Single-ply,172.37
124.74,61.23,52.8,M,Single-ply,115.67
207.5,142.5,80.1,M,Single-ply,240.0
175.0,105.0,91.49,M,Wraps,187.5
58.97,43.09,54.16,F,Wraps,99.79
215.0,125.0,92.6,M,Raw,250.0
145.0,147.5,74.2,M,Single-ply,147.5
177.5,125.0,72.5,M,Single-ply,172.5
200.0,125.0,73.6,M,Wraps,207.5
86.18,22.68,64.14,F,Wraps,97.52
280.0,200.0,106.9,M,Single-ply,275.0
220.0,147.5,98.65,M,Raw,307.5
127.01,63.5,68.22,M,Single-ply,136.08
152.5,90.0,83.98,F,Raw,202.5
224.53,140.61,74.62,M,Single-ply,235.87
200.0,122.5,,F,Single-ply,225.0
175.0,130.0,66.0,M,Single-ply,200.0
310.71,140.61,86.36,M,Single-ply,249.48
235.0,137.5,93.53,M,Raw,272.5
105.0,60.0,62.6,F,Raw,137.5
150.0,67.5,103.5,F,Raw,165.0
108.86,70.31,57.61,M,Single-ply,113.4
65.0,55.0,56.6,F,Raw,117.5
122.5,70.0,66.4,F,Raw,152.5
72.5,65.0,46.67,F,Raw,110.0
288.03,181.44,134.31,M,Single-ply,251.74
192.5,147.5,81.9,M,Raw,245.0
181.44,129.27,115.85,M,Single-ply,192.78
207.5,135.0,103.9,M,Raw,205.0
102.5,57.5,51.65,F,Wraps,130.0
190.0,120.0,125.4,M,Raw,200.0
138.35,95.25,64.86,M,Single-ply,127.01
112.5,65.0,68.0,F,Raw,150.0
165.56,120.2,81.1,M,Single-ply,165.56
165.0,107.5,90.65,M,Raw,215.0
270.0,177.5,101.6,M,Single-ply,255.0
231.33,165.56,89.99,M,Wraps,299.37
97.5,47.5,55.5,F,Raw,110.0
227.5,170.0,102.8,M,Raw,230.0
161.03,129.27,149.32,M,Single-ply,170.1
215.0,137.5,91.0,M,Raw,257.5
220.0,140.0,86.9,M,Raw,242.5
149.69,86.18,97.16,M,Single-ply,154.22
102.5,102.5,130.09,M,Wraps,205.0
170.0,160.0,95.25,M,Raw,175.0
125.0,87.5,79.9,M,Raw,145.0
137.5,60.0,70.7,F,Raw,142.5
176.9,104.33,66.59,M,Single-ply,192.78
342.5,182.5,128.6,M,Single-ply,300.0
90.72,58.97,64.14,F,Wraps,117.93
155.0,87.5,72.3,M,Raw,170.0
215.0,145.0,73.5,M,Single-ply,225.0
100.0,50.0,67.3,F,Raw,115.0
306.17,204.12,107.05,M,Multi-ply,274.42
155.0,165.0,123.5,M,Raw,212.5
244.9,111.1,103.9,M,Single-ply,195.0
174.63,90.72,66.22,M,Single-ply,179.17
81.65,38.56,44.45,M,Single-ply,81.65
140.0,105.0,82.45,M,Raw,170.0
117.5,85.0,71.6,F,Raw,157.5
97.52,70.31,85.18,F,Raw,129.27
247.21,161.03,109.59,M,Single-ply,249.48
247.21,174.63,88.45,M,Wraps,267.62
174.63,120.2,88.36,M,Wraps,183.7
181.44,113.4,91.26,M,Single-ply,192.78
136.08,74.84,59.87,M,Single-ply,136.08
54.4,34.0,59.01,M,Single-ply,79.4
220.0,105.0,73.3,M,Raw,240.0
215.0,145.0,65.3,M,Raw,237.5
115.0,55.0,68.5,F,Single-ply,120.0
107.5,62.5,62.05,F,Raw,120.0
206.38,140.61,96.71,M,Single-ply,226.8
182.5,112.5,81.6,M,Raw,227.5
260.0,175.0,90.9,M,Wraps,282.5
210.0,125.0,90.1,M,Raw,205.0
115.0,77.5,102.5,M,Raw,140.0
270.0,105.0,113.0,M,Raw,250.0
190.0,125.0,90.3,M,Raw,195.0
154.22,106.59,51.3,M,Single-ply,197.31
181.44,97.52,99.56,M,Single-ply,192.78
370.0,225.0,155.0,M,Wraps,310.0
226.8,136.08,107.77,M,Single-ply,219.99
227.5,157.5,81.47,M,Wraps,220.0
149.69,120.2,74.57,M,Single-ply,181.44
220.0,115.0,129.7,M,Raw,255.0
115.67,81.65,82.5,M,Wraps,165.56
